,timestamp,symbol,open,high,low,close,volume,trade_count,SMA_20,SMA_50,SMA_100,Volatility,Bollinger_Upper,Bollinger_Lower,Momentum_5,sentiment_score,likes,weighted_sentiment,next_open
1,2024-10-01 13:15:00+00:00,AAPL,229.14,229.14,229.14,229.14,150.0,,229.14,229.14,229.14,0.0,229.14,229.14,,0.0,0,0.0,229.52
2,2024-10-01 13:30:00+00:00,AAPL,229.52,229.58,226.2,226.55,193744.0,,227.845,227.845,227.845,1.2949999999989303,230.43499999999787,225.25500000000213,-2.589999999999975,0.0,0,0.0,226.43
13,2024-10-01 13:45:00+00:00,AAPL,226.43,227.03,225.645,226.09,121140.0,,227.26,227.26,227.26,1.342559744170775,229.94511948834153,224.57488051165845,-0.46000000000000796,0.0,0,0.0,226.1
24,2024-10-01 14:00:00+00:00,AAPL,226.1,226.24,225.07,225.39,81518.0,,226.7925,226.7925,226.7925,1.4168693482478325,229.62623869649565,223.95876130350433,-0.700000000000017,0.0,0,0.0,225.3
35,2024-10-01 14:15:00+00:00,AAPL,225.3,225.43,224.7,224.93,69570.0,,226.42,226.42,226.42,1.4700476182785114,229.36009523655702,223.47990476344296,-0.45999999999997954,0.0,0,0.0,224.935
46,2024-10-01 14:30:00+00:00,AAPL,224.935,225.45,224.56,225.195,57813.0,,226.21583333333334,226.21583333333334,226.21583333333334,1.4174931412737335,229.0508196158808,223.38084705078586,0.26499999999998636,0.0,0,0.0,225.225
57,2024-10-01 14:45:00+00:00,AAPL,225.225,225.36,224.85,225.28,54271.0,,226.08214285714286,226.08214285714286,226.08214285714286,1.352584449812056,228.78731175676697,223.37697395751874,0.08500000000000796,0.0,0,0.0,225.28
68,2024-10-01 15:00:00+00:00,AAPL,225.28,225.3,224.52,224.805,45853.0,,225.9225,225.9225,225.9225,1.333866560038875,228.59023312007776,223.25476687992227,-0.4749999999999943,0.0,0,0.0,224.835
79,2024-10-01 15:15:00+00:00,AAPL,224.835,225.48,224.69,225.46,61523.0,,225.8711111111111,225.8711111111111,225.8711111111111,1.2659532591412943,228.4030176293937,223.3392045928285,0.6550000000000011,0.0,0,0.0,225.41
90,2024-10-01 15:30:00+00:00,AAPL,225.41,225.92,225.11,225.69,60307.0,,225.853,225.853,225.853,1.2022171184913548,228.25743423698273,223.44856576301729,0.22999999999998977,0.0,0,0.0,225.685
101,2024-10-01 15:45:00+00:00,AAPL,225.685,225.765,225.21,225.22,46802.0,,225.79545454545453,225.79545454545453,225.79545454545453,1.1606237636161245,228.1167020726868,223.47420701822227,-0.46999999999999886,0.0,0,0.0,225.19
112,2024-10-01 16:00:00+00:00,AAPL,225.19,225.82,225.09,225.27,39422.0,,225.75166666666667,225.75166666666667,225.75166666666667,1.1206626264098007,227.99299191948626,223.51034141384707,0.05000000000001137,0.0,0,0.0,225.31
123,2024-10-01 16:15:00+00:00,AAPL,225.31,225.63,225.205,225.31,34660.0,,225.7176923076923,225.7176923076923,225.7176923076923,1.0831109315067544,227.8839141707058,223.55147044467878,0.03999999999999204,0.0,0,0.0,225.3
134,2024-10-01 16:30:00+00:00,AAPL,225.3,225.38,224.45,224.52,55034.0,,225.63214285714284,225.63214285714284,225.63214285714284,1.0883370576367133,227.80881697241625,223.45546874186942,-0.789999999999992,0.0,0,0.0,224.49
